name,lat,lon,elevation_m
KISW,44.36,-89.84,307.0
KITR,39.24,-102.29,1285.0
KIWI,43.96,-69.71,21.0
KIXD,38.83,-94.89,343.0
KIZG,43.99,-70.95,138.0
KJAN,32.32,-90.08,101.0
KJBR,35.83,-90.65,80.0
KJCT,30.51,-99.77,522.0
KJEF,38.59,-92.16,168.0
KJER,42.73,-114.46,1222.0
KJFK,40.64,-73.76,7.0
KJKL,37.59,-83.31,421.0
KJLN,37.15,-94.5,293.0
KJMS,46.93,-98.68,457.0
KJST,40.32,-78.83,696.0
KJXN,42.26,-84.46,305.0
KLAA,38.07,-102.69,1103.0
KLAF,40.41,-86.93,182.0
KLAN,42.78,-84.58,264.0
KLAR,41.31,-105.68,2218.0
KLAW,34.57,-98.42,338.0
KLBB,33.66,-101.82,988.0
KLBF,41.12,-100.67,844.0
KLBT,34.61,-79.06,38.0
KLEB,43.63,-72.3,182.0
KLEX,38.04,-84.61,301.0
KLFK,31.23,-94.75,88.0
KLGA,40.78,-73.88,9.0
KLGU,41.79,-111.85,1358.0
KLHQ,39.76,-82.66,260.0
KLHX,38.05,-103.51,1292.0
KLIC,39.27,-103.67,1635.0
KLIT,34.73,-92.24,79.0
KLLJ,44.52,-114.22,1546.0
KLLQ,33.64,-91.75,82.0
KLMT,42.15,-121.72,1247.0
KLNK,40.83,-96.76,352.0
KLNR,43.21,-90.18,217.0
KLNS,40.12,-76.29,123.0
KLOL,40.07,-118.57,1192.0
KLOU,38.23,-85.66,167.0
KLOZ,37.09,-84.08,369.0
KLPR,41.35,-82.18,241.0
KLSE,43.88,-91.25,199.0
KLUK,39.1,-84.42,155.0
KLVJ,29.52,-95.24,13.0
KLVM,45.7,-110.45,1419.0
KLVS,35.65,-105.14,2095.0
KLWC,39.01,-95.21,253.0
KLWD,40.63,-93.9,333.0
KLWM,42.72,-71.12,45.0
KLWS,46.37,-117.02,438.0
KLWT,47.05,-109.47,1270.0
KLWV,38.76,-87.61,131.0
KLXT,38.96,-94.37,306.0
KLYH,37.32,-79.21,286.0
KMAF,31.95,-102.21,869.0
KMBG,45.55,-100.41,515.0
KMBS,43.53,-84.08,202.0
KMCB,31.18,-90.47,126.0
KMCE,37.29,-120.52,46.0
KMCI,39.3,-94.71,320.0
KMCK,40.21,-100.59,782.0
KMCN,32.69,-83.65,110.0
KMCW,43.15,-93.33,370.0
KMDH,37.78,-89.25,130.0
KMDT,40.19,-76.76,94.0
KMDW,41.79,-87.75,188.0
KMEB,34.79,-79.37,67.0
KMEH,45.51,-118.42,1236.0
KMEI,32.33,-88.75,94.0
KMEM,35.06,-89.98,87.0
KMFD,40.82,-82.52,395.0
KMFI,44.64,-90.19,382.0
KMFR,42.38,-122.87,405.0
KMGJ,41.51,-74.26,111.0
KMGM,32.3,-86.39,62.0
KMGW,39.64,-79.92,380.0
KMGY,39.59,-84.22,289.0
KMHE,43.77,-98.04,396.0
KMHK,39.14,-96.68,322.0
KMHS,41.31,-122.32,1081.0
KMHT,42.93,-71.44,71.0
KMIC,45.06,-93.35,262.0
KMIE,40.24,-85.4,285.0
KMIV,39.37,-75.08,25.0
KMIW,42.11,-92.92,297.0
KMKC,39.12,-94.59,227.0
KMKE,42.95,-87.9,204.0
KMKG,43.17,-86.24,191.0
KMKL,35.59,-88.92,132.0
KMKO,35.66,-95.36,186.0
KMLC,34.88,-95.78,235.0
KMLF,38.43,-113.01,1536.0
KMLI,41.45,-90.51,181.0
KMLP,47.45,-115.67,1830.0
KMLS,46.43,-105.89,801.0
KMLT,45.65,-68.69,124.0
KMLU,32.51,-92.04,24.0
KMMK,41.51,-72.83,31.0
KMMV,45.19,-123.14,48.0
KMNN,40.62,-83.06,301.0
KMOT,48.26,-101.28,523.0
KMPO,41.14,-75.38,577.0
KMPV,44.2,-72.56,355.0
KMRB,39.4,-77.98,170.0
KMRH,34.73,-76.66,3.0
KMSL,34.74,-87.6,168.0
KMSN,43.14,-89.35,261.0
KMSO,46.92,-114.09,972.0
KMSP,44.89,-93.23,265.0
KMSS,44.94,-74.85,65.0
KMTO,39.48,-88.28,214.0
KMVL,44.53,-72.61,234.0
KMVY,41.39,-70.61,21.0
KMWH,47.21,-119.32,361.0
KMWL,32.78,-98.06,296.0
KNAK,38.99,-76.49,1.0
KNBC,32.48,-80.72,12.0
KNGP,27.69,-97.29,6.0
KNGU,36.94,-76.29,5.0
KNKT,34.9,-76.88,9.0
KNYC,40.78,-73.97,27.0
KODO,31.92,-102.39,915.0
KODX,41.62,-98.95,628.0
KOFK,41.99,-97.44,468.0
KOFP,37.71,-77.44,63.0
KOGB,33.46,-80.86,60.0
KOGD,41.2,-112.01,1362.0
KOJC,38.85,-94.74,334.0
KOKC,35.39,-97.6,397.0
KOLF,48.09,-105.58,605.0
KOLM,46.97,-122.9,61.0
KOMA,41.31,-95.9,296.0
KOMK,48.46,-119.52,396.0
KONO,44.02,-117.01,668.0
KOQT,36.02,-84.23,277.0
KORD,41.99,-87.93,200.0
KORE,42.57,-72.29,164.0
KORF,36.9,-76.19,9.0
KORH,42.27,-71.88,308.0
KOSH,43.98,-88.56,248.0
KOSU,40.08,-83.08,280.0
KOTM,41.1,-92.44,258.0
KOVS,43.16,-90.68,202.0
KOWD,42.19,-71.17,15.0
KOXB,38.31,-75.12,4.0
KPAE,47.91,-122.28,185.0
KPAH,37.06,-88.77,120.0
KPBF,34.17,-91.93,63.0
KPBG,44.64,-73.46,47.0
KPDK,33.88,-84.3,305.0
KPDT,45.7,-118.84,456.0
KPDX,45.59,-122.6,12.0
KPEO,42.64,-77.05,267.0
KPGA,36.93,-111.45,1304.0
KPHD,40.47,-81.42,272.0
KPHF,37.13,-76.49,13.0
KPHL,39.87,-75.23,2.0
KPHP,44.05,-101.6,672.0
KPIA,40.67,-89.68,205.0
KPIH,42.91,-112.6,1365.0
KPIL,26.16,-97.34,6.0
KPIR,44.38,-100.29,522.0
KPIT,40.49,-80.23,373.0
KPKB,39.34,-81.44,245.0
KPKD,46.9,-95.07,442.0
KPLN,45.57,-84.8,217.0
KPNC,36.73,-97.1,307.0
KPNE,40.08,-75.01,37.0
KPOF,36.77,-90.32,99.0
KPOU,41.63,-73.88,51.0
KPPF,37.33,-95.5,274.0
KPRN,31.85,-86.61,138.0
KPSC,46.26,-119.12,124.0
KPSF,42.43,-73.29,364.0
KPSX,28.73,-96.25,5.0
KPTK,42.67,-83.42,299.0
KPTW,40.24,-75.56,94.0
KPUB,38.29,-104.5,1439.0
KPUC,39.61,-110.75,1799.0
KPUW,46.74,-117.11,778.0
KPVD,41.72,-71.43,19.0
KPWA,35.53,-97.65,396.0
KPWK,42.12,-87.9,203.0
KPWM,43.64,-70.3,19.0
KPYM,41.91,-70.73,45.0
KRAC,42.76,-87.81,203.0
KRAP,44.05,-103.06,965.0
KRBD,32.68,-96.87,201.0
KRBG,43.24,-123.36,160.0
KRDD,40.51,-122.29,153.0
KRDG,40.38,-75.97,105.0
KRDM,44.25,-121.15,938.0
KRDU,35.89,-78.78,118.0
KRFD,42.19,-89.09,220.0
KRHI,45.63,-89.47,485.0
KRIC,37.51,-77.32,54.0
KRIL,39.53,-107.73,1691.0
KRIW,43.06,-108.46,1688.0
KRKP,28.08,-97.05,8.0
KRKS,41.59,-109.07,2060.0
KRME,43.22,-75.4,144.0
KRMG,34.35,-85.16,196.0
KRNO,39.48,-119.77,1341.0
KRNT,47.49,-122.22,9.0
KROA,37.32,-79.97,345.0
KROC,43.12,-77.68,169.0
KROW,33.3,-104.53,1118.0
KRSL,38.87,-98.81,568.0
KRST,43.9,-92.49,403.0
KRTN,36.74,-104.5,1935.0
KRUE,35.26,-93.09,123.0
KRVS,36.04,-95.98,193.0
KRWF,44.55,-95.08,311.0
KRWI,35.86,-77.89,48.0
KRWL,41.81,-107.2,2077.0
KRXE,43.83,-111.81,1481.0
KSAF,35.62,-106.09,1934.0
KSAT,29.53,-98.47,242.0
KSBM,43.77,-87.85,232.0
KSBN,41.71,-86.32,237.0
KSBY,38.34,-75.51,16.0
KSDF,38.18,-85.73,146.0
KSEA,47.44,-122.31,137.0
KSEG,40.82,-76.86,137.0
KSET,38.93,-90.43,134.0
KSFF,47.68,-117.32,595.0
KSGF,37.24,-93.39,390.0
KSHN,47.23,-123.15,85.0
